Neighborhood,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Alexander Place Townhomes, Raleigh, NC",-1.0619111440616738,3.0823535631316155,-0.7858096164815215,0.32278215249785397,0.5671004754959582,0.2763972406588263,-1.4531407546346637,0.35531504514123086,0.7082669091457449,1.5511479858554422,-1.5708803750537685,0.21658155122045547,0.3830316041366322,1.9701935461098228,0.3536393889022835,-0.5016078627057599
"Alpha, Raleigh, NC",2.9644623616315338,-1.1300921312277692,-0.07810071248665061,-1.4203832848409443,0.8175566191504847,-0.19259032973975224,0.5770542749644061,1.286347172037797,0.08899856768921569,-0.9324120951861387,-1.008761909314179,1.8961023770750869,-0.7320571085398561,-0.7206562550536358,-0.351736069527155,0.18118665237474305
"Amberfield, Raleigh, NC",1.1260142524989578,-0.9171277811437671,0.04319056211535877,0.08986655006593475,0.22696250716583258,-0.36876537565667344,-0.19386628163425568,0.18688897240115182,-0.7553486285829782,-0.569964605673744,0.05377507624469603,0.17682692540925576,0.14471529166574246,-0.44049465368146296,-0.22459558364089388,0.3227541642673091
"Ammondale, Raleigh, NC",1.2437983295173618,-0.595922675368978,-0.14823199719810967,-0.4519630319456305,0.1634874720424204,0.03556138170960704,0.6340106166658762,-0.5612654536074236,-0.7134785705785942,-0.5379364771822585,-0.03440079140919515,-0.33285418328921146,0.1098332215407867,0.4552855972215836,-0.09063653872834684,0.013739869910966278
"Anderson Forest, Raleigh, NC",-2.0371319926196882,1.5042397785183457,2.0003191198616532,-0.03188643800866231,1.3273018975688544,-0.2997771279827193,-1.2449771619364272,-1.0374171081395196,1.5068114755250417,-1.7660822420354818,0.2599155418746715,-0.2999388634359449,-0.6285820637937327,0.5721781021548947,-0.4324716154699333,-0.15873288494620635
"Anderson Heights, Raleigh, NC",-3.455315426491546,1.4259106815226958,1.754684727311429,-1.0833989766973322,-0.7528988753477215,-0.004464313517908325,0.15706176388373355,-1.2349740712263715,1.0171123783141873,-0.3402924614037051,0.21040678558672252,0.31668272387468577,-1.2111754136368955,-1.0528874974251172,0.399225296086013,-0.27158898252457886
"Arbor Chase, Raleigh, NC",0.05391409358622297,-0.7087181669867594,-0.7896769089044171,-1.0216490106462857,0.44849956005202646,0.14762105144574209,0.5802782143408561,0.27336865644295355,0.067066339223021,-0.5508435885687274,-0.6207135282767293,0.5246351253988245,-0.2219079500273242,0.36320273955055016,-0.004543743849428312,0.2632074201311321
"Arbor at Harrington Grove, Raleigh, NC",-1.083895752971675,3.12388572114119,-0.8043723286640497,-0.5797458110385624,-0.39897877372329377,0.13583644464933384,-1.5446255842693806,0.9484214370089779,1.5980082413085466,1.9618911170580096,-1.0174646710087663,0.18163437516751219,0.43569870772284797,1.9563501061820645,0.3467059945869944,-0.42858574422779044
"Ashley Park, Raleigh, NC",-1.5370997776082214,0.24949730166450906,-0.2338111231014664,0.4846906512592707,0.004626829937457801,0.017674044067022082,0.5091577034326519,-0.17450860651271868,-0.5582760336290542,-0.06618186048211726,0.20642486660486592,-0.399480848408009,0.02906628383249729,0.6552576119613344,-0.3691593906340988,0.29972239615661683
"Ashley Ridge, Raleigh, NC",-3.044567933892341,0.26213309466221313,-0.17767981314652545,-0.7755252203579067,-1.3058539686894286,0.26228852789485146,0.7568243620544515,-0.8544732059691074,-0.25952988674438865,0.4210402389496797,-0.26286097743229375,0.11435745934863487,0.07896169024807467,-0.34437699424203677,-0.1516763688588935,-0.055017698384356724
"Athens, Raleigh, NC",-0.6810380936120537,-0.28165748273783797,1.3266831906669407,0.7132120826387282,0.2861524858391321,1.8358841316337045,0.3396805553661254,0.262874475784263,-0.7876306093608147,1.119506933737942,0.44929796826432494,0.07376206557244416,-0.39039597365929674,-0.5760291894488657,-0.1539595733721449,0.09711140807714955
"Auburn Hills, Raleigh, NC",0.34896409818473306,-0.286865982008177,0.168755883927213,-1.552579893631425,-0.50020916590206,0.2265758270882002,0.3056241440014021,1.275644291460808,0.9885059001463934,0.8413512887646527,-1.3881208060618393,-0.6873552176156055,-0.14370933818075662,0.22838712790745344,-0.19045258500921602,-0.23982918651898022
"Avallon, Raleigh, NC",-1.5185033016161402,1.1398098310580027,0.03726642999208422,-0.1406789089942329,-1.091069508006981,-0.10346155370230393,-0.24550366444922228,0.076375367148218,-0.4757738539323475,0.2780809218918115,0.34539730410463093,0.3525331655083519,-0.14732351796075188,-0.5623770463294924,0.24188866167169515,-0.22712485717123895
"Avington Place, Raleigh, NC",0.20089152784820974,-0.7263379370344689,0.20962349481094236,-1.2884918437712662,-2.0351054582710275,-0.36242563644985315,0.20498435243574625,-0.0957800029687758,0.32567822860843376,-0.217021583170117,-0.10067975099578048,0.3413073451401194,-0.1496057995727296,0.49811876360982144,-0.08979016957254198,0.38359716689001594
"Bagwell, Raleigh, NC",0.9430772077548936,0.4247400070383592,0.20148139199236273,0.9421623836079939,-0.040237073082520336,-0.7080499999944878,0.3008020401628881,0.8053637463493655,-0.11180151599666172,-0.9349503977368787,-0.2744712293491137,1.3498734669092407,0.7052676983940488,0.38511471544176384,-0.21032579807549182,-0.710253318573885
"Baileycroft, Raleigh, NC",0.22633198682900818,0.06108097055998945,0.8241798845086397,-1.12800166469478,1.6589710173737238,-0.12335163227545717,-0.26081890174615935,0.4420690925907816,1.50661700153551,-1.7732931204794218,0.024728008618350072,-0.4016324061199332,0.5284817628049809,-0.5888435051262204,0.2826571269590382,-0.08504803755612263
