Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store,cluster,map_cluster,avg number of cars
"Bedford Heights, Raleigh, NC",0.011000000000000001,48,2.3,1.4,1.9,18.0,21.8,45.4,28214.0,1309.0,38.7,53.3,22.8,32.5,7.7,27.8,0.3,37.9,12.3,0.0,20.6,64.5,0.16666666666666666,0.0,0.0,0.0,0.0,13,9.0,1.4
"Bellevue Terrace, Raleigh, NC",0.08900000000000001,109,2.4,1.6,2.2,52.0,49.3,51.7,99444.0,1486.0,30.1,65.8,36.7,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.4,56.7,0.0,0.0,0.0,0.0,0.0,19,4.0,1.6
"Bembridge, Raleigh, NC",0.03,73,2.6,1.8,1.9,29.0,35.9,36.5,95333.0,1383.0,46.2,43.3,33.7,57.8,10.1,58.2,0.4,15.8,9.2,0.0,5.1,85.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.8
"Bennett Place, Raleigh, NC",0.018000000000000002,48,2.6,1.6,2.1,21.0,44.8,48.3,120583.0,853.0,52.6,40.0,37.6,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.0,0.0,0.0,0.15384615384615385,0.0,6,8.0,1.6
"Bennett Woods, Raleigh, NC",0.012,38,2.1,1.1,1.4,17.0,31.8,34.6,44079.0,671.0,37.6,55.3,21.6,50.3,5.9,27.1,1.2,22.6,16.0,0.0,25.8,79.0,0.3333333333333333,0.0,0.0,0.0,0.0,8,15.0,1.1
"Blenheim Place, Raleigh, NC",0.095,185,1.8,1.1,2.0,90.0,55.6,49.1,77708.0,789.0,38.2,56.0,48.5,23.1,5.5,40.9,0.3,18.4,18.5,0.0,7.4,65.4,0.0,0.5,0.0,0.0,0.0,4,13.0,1.1
"Blue Moon Ridge, Raleigh, NC",0.013999999999999999,36,1.9,1.6,1.9,23.0,48.3,33.3,91731.0,869.0,38.7,53.3,42.1,32.9,7.7,38.3,0.3,11.1,28.4,0.0,11.2,60.7,0.0,0.0,0.0,0.0,0.0,2,7.0,1.6
"Bolton, Raleigh, NC",0.032,97,2.6,1.7,2.1,50.0,44.3,37.0,94000.0,745.0,39.7,52.0,38.1,50.0,7.1,59.7,1.1,12.5,18.4,0.0,1.2,59.7,0.0,0.0,0.0,0.0,0.0,2,7.0,1.7
"Boylan Heights, Raleigh, NC",0.106,403,1.9,1.6,1.6,180.0,39.2,35.8,48068.0,727.0,48.7,46.9,39.6,32.1,4.0,27.5,0.4,20.8,19.5,0.0,2.4,81.5,0.0,0.0,0.25,0.0,0.0,9,17.0,1.6
"Breeland Park, Raleigh, NC",0.045,41,2.6,1.2,2.1,17.0,42.3,44.4,110083.0,1031.0,53.2,39.1,32.9,57.3,7.3,68.1,0.5,7.6,6.4,0.0,5.2,78.6,0.0,0.0,0.0,0.0,0.0,14,16.0,1.2
"Breezy Heights, Raleigh, NC",0.005,18,2.1,1.1,1.4,8.0,31.8,34.6,44079.0,671.0,37.6,55.3,21.2,50.3,5.9,27.1,1.2,22.6,16.0,0.0,25.4,79.0,0.0,0.0,0.0,0.0,0.0,8,15.0,1.1
"Brentwood, Raleigh, NC",0.797,780,2.4,1.7,1.8,442.0,47.7,33.2,59583.0,889.0,34.9,45.3,13.9,65.4,18.1,38.1,1.6,13.4,29.4,4.4,20.3,74.3,0.0,0.0,0.0,0.0,0.0,10,18.0,1.7
"Briarcliff, Raleigh, NC",0.05,118,2.7,2.5,2.2,60.0,43.1,37.8,113750.0,982.0,36.9,54.2,32.4,53.0,6.7,68.8,2.3,9.7,11.5,0.0,4.2,69.2,0.0,0.25,0.0,0.0,0.0,14,16.0,2.5
"Briarwood North, Raleigh, NC",0.09300000000000001,152,2.3,1.5,2.2,76.0,43.6,39.7,93413.0,917.0,47.8,45.5,35.1,48.8,4.7,58.9,2.0,12.5,12.2,0.7,6.9,71.6,0.0,0.0,0.25,0.0,0.0,2,7.0,1.5
"Bridgewater, Raleigh, NC",0.027999999999999997,25,2.6,1.2,2.1,10.0,42.3,44.4,110083.0,1031.0,53.2,39.1,33.3,57.3,7.3,68.1,0.5,7.6,6.4,0.0,5.3,78.6,0.0,0.0,0.0,0.0,0.0,14,16.0,1.2
"Brook Forest Townhomes, Raleigh, NC",0.021,47,2.5,1.0,2.1,22.0,40.9,44.1,68036.0,698.0,30.7,45.0,27.3,50.1,22.7,55.5,1.6,15.3,19.2,2.2,3.3,56.1,0.0,0.0,0.0,0.0,0.0,15,6.0,1.0
"Brookdale, Raleigh, NC",0.040999999999999995,103,2.6,1.8,1.9,41.0,35.9,36.5,95333.0,1383.0,46.2,43.3,33.6,57.8,10.1,58.2,0.4,15.8,9.2,0.0,5.1,85.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.8
"Brookdale, Raleigh, NC",0.040999999999999995,103,2.6,1.8,1.9,41.0,35.9,36.5,95333.0,1383.0,46.2,43.3,33.6,57.8,10.1,58.2,0.4,15.8,9.2,0.0,5.1,85.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.8
"Brookhaven, Raleigh, NC",0.9079999999999999,2596,1.9,1.2,2.3,1298.0,36.8,38.2,53136.0,843.0,46.2,43.3,34.5,39.9,10.1,40.5,0.4,15.0,10.1,1.5,13.2,69.9,0.0,0.0,0.5,0.0,0.0,0,12.0,1.2
"Brooklyn (Glenwood), Raleigh, NC",0.24,1214,5.5,1.2,1.5,657.0,35.7,37.6,56745.0,864.0,48.2,45.5,40.0,24.8,5.8,21.2,0.4,23.4,26.8,0.0,2.6,85.8,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0,12.0,1.2
"Brooklyn Hill, Raleigh, NC",0.006,29,1.6,1.2,1.5,15.0,33.2,38.0,60882.0,871.0,48.3,45.4,39.3,25.6,5.9,21.6,0.4,23.9,27.1,0.0,2.5,85.7,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,10,18.0,1.2
"Brookshire, Raleigh, NC",0.009000000000000001,37,2.2,1.4,1.9,15.0,37.9,42.5,60913.0,976.0,42.6,43.0,30.8,47.5,11.6,44.0,2.7,19.7,15.9,0.0,13.2,72.0,0.5,0.0,0.0,0.0,0.0,10,18.0,1.4
"Brookside Dr, Raleigh, NC",0.003,8,2.5,1.6,1.7,3.0,40.5,39.8,50081.0,745.0,37.6,55.3,18.6,51.0,5.9,32.0,1.2,8.4,18.4,0.0,12.4,80.4,0.0,0.0,0.0,0.0,0.0,9,17.0,1.6
"Brookview, Raleigh, NC",0.015,38,2.5,1.6,1.7,18.0,40.5,39.8,50081.0,745.0,37.6,55.3,18.6,51.0,5.9,32.0,1.2,8.4,18.4,2.8,12.4,80.4,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,9,17.0,1.6
"Bryn Mawr, Raleigh, NC",0.122,206,2.8,1.8,2.0,108.0,32.1,28.8,72538.0,777.0,37.0,39.4,23.0,47.3,21.8,52.3,1.8,14.1,23.6,6.6,8.7,75.5,0.0,0.5,0.0,0.0,0.0,15,6.0,1.8
"Budleigh, Raleigh, NC",0.4320000000000001,1089,2.6,2.2,2.0,509.0,44.3,42.4,142379.0,1762.0,37.3,57.9,34.7,49.6,4.1,68.7,0.7,7.2,9.6,0.3,1.3,66.5,0.0,0.0,0.0,0.0,0.0,1,1.0,2.2
"Calender, Raleigh, NC",0.002,2,2.5,1.8,2.2,1.0,37.5,32.9,74803.0,928.0,34.4,38.8,45.1,63.2,26.8,60.8,0.0,8.8,17.3,0.0,22.4,90.6,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,4,13.0,1.8
"Cambridge, Raleigh, NC",0.11699999999999999,148,2.4,1.2,2.2,61.0,40.1,45.4,78250.0,846.0,54.3,40.8,21.9,62.3,1.8,52.7,3.3,19.8,6.4,0.0,11.1,81.6,1.0,0.0,0.0,0.0,0.0,4,13.0,1.2
"Cambridge, Raleigh, NC",0.11699999999999999,148,2.4,1.2,2.2,61.0,40.1,45.4,78250.0,846.0,54.3,40.8,21.9,62.3,1.8,52.7,3.3,19.8,6.4,0.0,11.1,81.6,1.0,0.0,0.0,0.0,0.0,4,13.0,1.2
"Cambridge, Raleigh, NC",0.11699999999999999,148,2.4,1.2,2.2,61.0,40.1,45.4,78250.0,846.0,54.3,40.8,21.9,62.3,1.8,52.7,3.3,19.8,6.4,0.0,11.1,81.6,1.0,0.0,0.0,0.0,0.0,4,13.0,1.2
"Cameron Park, Raleigh, NC",0.19899999999999998,2353,1.8,1.6,2.0,1176.5,26.9,29.0,34804.0,1011.0,46.0,47.4,21.5,20.6,5.3,21.2,1.4,31.5,42.2,0.4,5.9,74.1,0.0,0.0,0.0,0.0,0.0,5,,1.6
"Cameron Village, Raleigh, NC",0.067,427,1.6,1.3,1.9,171.0,33.6,30.9,76208.0,1183.0,45.9,47.5,61.4,22.6,5.3,28.3,1.4,25.1,17.8,0.2,7.1,79.2,0.0,0.0,0.0,0.04166666666666666,0.0,4,13.0,1.3
"Capitol Heights, Raleigh, NC",0.046,119,2.5,1.6,1.7,58.0,40.5,39.8,50081.0,745.0,37.6,55.3,18.6,51.0,5.9,32.0,1.2,8.4,18.4,3.5,12.4,80.4,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,9,17.0,1.6
"Cardinal Grove, Raleigh, NC",0.201,73,2.3,1.1,1.6,31.0,37.8,36.2,54200.0,795.0,39.7,36.8,25.0,59.3,21.5,51.8,2.0,19.9,9.2,7.2,18.3,81.9,0.0,0.16666666666666666,0.0,0.0,0.0,0,12.0,1.1
"Cardinal Hills, Raleigh, NC",0.253,426,2.8,1.8,2.0,223.0,32.1,28.8,72538.0,777.0,37.0,39.4,23.0,47.3,21.8,52.3,1.8,14.1,23.6,6.4,8.7,75.5,1.0,0.0,0.0,0.0,0.0,15,6.0,1.8
"Carolina Country Club, Raleigh, NC",0.009000000000000001,7,2.5,1.3,2.5,3.0,54.2,58.1,208158.0,1125.0,32.7,62.0,42.5,48.8,3.2,76.1,2.2,9.7,3.9,0.0,2.6,62.6,0.0,0.0,0.0,0.0,0.0,7,3.0,1.3
"Carriage Hills, Raleigh, NC",0.043,121,2.3,1.5,2.2,57.0,39.0,41.1,123293.0,1207.0,46.3,42.9,34.9,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.1,66.9,0.16666666666666666,0.0,0.0,0.0,0.0,6,8.0,1.5
"Carters Mill, Raleigh, NC",0.006,2,2.2,4.1,1.7,1.0,52.4,41.7,49125.0,678.0,22.5,66.1,55.3,32.8,10.7,38.4,0.8,13.2,25.1,0.0,89.4,85.3,0.0,0.0,0.0,0.047619047619047616,0.0,9,17.0,4.1
"Cedar Hills Estates, Raleigh, NC",0.003,3,1.6,0.8,1.6,1.0,54.9,36.9,81406.0,751.0,42.6,43.0,35.7,32.9,11.6,31.2,2.7,9.2,19.4,0.0,9.3,57.4,0.25,0.0,0.0,0.0,0.0,16,2.0,0.8
"Cedar Village, Raleigh, NC",0.003,5,2.5,1.8,2.2,2.0,37.5,32.9,74803.0,928.0,34.4,38.8,40.6,63.2,26.8,60.8,0.0,8.8,17.3,0.0,20.2,90.6,0.0,0.0,0.0,0.125,0.125,4,13.0,1.8
"Cedarwoods Country Estates, Raleigh, NC",0.033,13,2.2,4.1,1.7,8.0,52.4,41.7,49125.0,678.0,22.5,66.1,45.7,32.8,10.7,38.4,0.8,13.2,25.1,0.0,73.9,85.3,0.0,0.0,0.0,0.0,0.0,9,17.0,4.1
"Chadleigh Pointe, Raleigh, NC",0.019,46,2.2,2.0,1.8,24.0,37.3,34.4,76516.0,740.0,54.2,39.7,33.6,49.9,5.2,44.3,0.9,13.0,20.1,0.0,12.8,76.3,0.0,0.5,0.0,0.0,0.0,4,13.0,2.0
"Chestnut Hills, Raleigh, NC",0.239,352,2.3,1.4,2.1,175.0,43.6,39.7,93413.0,895.0,50.3,43.6,35.7,47.4,4.3,55.6,1.9,13.6,12.5,1.2,8.3,72.6,0.0,0.25,0.0,0.0,0.0,2,7.0,1.4
"Chippenham Square, Raleigh, NC",0.017,47,2.6,1.6,2.1,21.0,44.8,48.3,120583.0,853.0,52.6,40.0,37.6,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.0,0.0,0.0,0.16666666666666666,0.0,6,8.0,1.6
"Churchill Woods, Raleigh, NC",0.012,35,2.6,1.7,2.1,18.0,44.3,37.0,94000.0,745.0,39.7,52.0,38.7,50.0,7.1,59.7,1.1,12.5,18.4,0.0,1.2,59.7,0.0,0.0,0.0,0.0,0.0,2,7.0,1.7
"Claridge, Raleigh, NC",0.006999999999999999,9,2.4,1.2,2.2,3.0,40.1,45.4,78250.0,846.0,54.3,40.8,22.5,62.3,1.7,52.7,3.3,19.8,6.4,0.0,11.4,81.6,0.0,0.0,0.0,0.0,0.3333333333333333,4,13.0,1.2
"Cobblestone, Raleigh, NC",0.083,30,2.3,1.1,1.6,13.0,37.8,36.2,54200.0,795.0,39.7,36.8,25.2,59.3,21.5,51.8,2.0,19.9,9.2,0.0,18.5,81.9,0.0,0.0,0.0,0.0,0.0,0,12.0,1.1
"Coley, Raleigh, NC",0.237,464,2.4,1.2,2.1,234.0,59.8,51.1,131622.0,1754.0,38.2,56.0,41.5,39.7,5.5,57.4,0.3,11.4,12.3,0.2,2.5,59.2,0.0,0.0,0.0,0.0,0.0,6,8.0,1.2
"College Crest, Raleigh, NC",0.013000000000000001,97,2.4,1.5,1.7,40.0,34.8,41.9,81179.0,961.0,38.7,53.3,34.0,42.3,7.7,35.2,0.3,18.6,19.6,0.0,8.2,65.8,0.0,0.0,0.04,0.08,0.0,16,2.0,1.5
"Collingwood, Raleigh, NC",0.003,5,2.4,1.6,1.7,2.0,33.2,36.9,40338.0,827.0,25.3,67.5,5.3,34.0,6.7,31.8,0.5,33.4,18.0,0.0,40.6,76.3,0.0,0.0,0.0,0.0,0.0,8,15.0,1.6
"Colony Woods, Raleigh, NC",0.059000000000000004,85,1.6,0.8,1.6,43.0,54.9,36.9,81406.0,751.0,42.6,43.0,27.2,32.9,11.6,31.2,2.7,9.2,19.4,0.0,7.0,57.4,0.25,0.0,0.0,0.0,0.0,16,2.0,0.8
"Community Dr, Raleigh, NC",0.002,2,3.6,1.0,1.6,1.0,42.2,27.7,29928.0,737.0,24.2,67.6,20.8,32.1,7.6,19.6,0.5,24.4,25.2,0.0,18.2,79.3,0.0,0.0,0.0,0.0,0.0,13,9.0,1.0
"Cottonwood, Raleigh, NC",0.047,48,3.9,1.6462395543175488,2.1,20.0,41.5,34.1,62288.0,1014.0,3.5,26.9,18.6,65.8,2.3,45.8,16.4,23.4,18.4,53.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,10,18.0,1.6462395543175488
"Country Club View, Raleigh, NC",0.033,37,3.0,1.2,2.8,17.0,31.0,31.4,33114.0,769.0,20.4,57.5,10.3,54.1,21.1,16.6,1.0,28.1,29.8,14.8,22.9,37.5,0.0,0.0,0.0,0.0,0.0,5,,1.2
"Country Club Villas, Raleigh, NC",0.105,297,2.3,1.9,2.3,144.0,43.0,46.3,154249.0,943.0,35.0,60.5,34.9,48.6,3.1,49.2,1.4,16.5,16.2,0.0,7.8,71.8,0.0,0.0,0.0,0.0,0.0,1,1.0,1.9
"Courtney Place, Raleigh, NC",0.001,2,2.5,1.8,2.2,1.0,37.5,32.9,74803.0,928.0,34.4,38.8,45.1,63.2,26.8,60.8,0.0,8.8,17.3,0.0,22.4,90.6,0.0,0.0,0.0,0.0,0.0,4,13.0,1.8
"Crabtree Heights, Raleigh, NC",0.034,40,2.3,1.6,1.9,21.0,33.1,32.8,52589.0,834.0,30.7,45.0,14.6,48.7,22.7,31.8,1.6,16.8,30.4,0.0,12.3,81.7,0.0,0.0,0.0,0.08333333333333333,0.027777777777777776,0,12.0,1.6
