Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store,cluster,map_cluster,avg number of cars
"Alexander Place Townhomes, Raleigh, NC",0.08900000000000001,12,2.2,1.6462395543175488,1.9,6.0,37.9,38.0,77721.0,1159.0,0.6,39.4,39.2,50.2,1.9,56.5,7.4,10.0,12.6,52.6,7.9,0.0,0.0,0.2,0.0,0.0,0.0,4,13.0,1.6462395543175488
"Alpha, Raleigh, NC",0.005,29,2.4,1.7,1.7,10.0,24.0,33.5,45978.0,677.0,38.7,53.3,7.9,60.8,7.7,34.3,0.3,41.0,17.5,0.0,33.8,87.7,0.0,0.3333333333333333,0.0,0.0,0.0,8,15.0,1.7
"Amberfield, Raleigh, NC",0.091,55,2.3,1.7,1.8,26.0,40.8,36.0,53929.0,895.0,42.0,45.8,25.0,37.7,10.9,34.1,1.3,24.9,22.6,0.0,19.1,86.6,0.0,0.0,0.0,0.0,0.0,0,12.0,1.7
"Ammondale, Raleigh, NC",0.026000000000000002,71,2.5,1.3,2.1,33.0,32.6,30.9,34719.0,693.0,30.5,43.2,23.9,60.2,25.0,40.0,1.3,17.8,17.6,4.7,11.2,84.7,0.0,0.0,0.0,0.0,0.0,5,,1.3
"Anderson Forest, Raleigh, NC",0.027000000000000003,33,2.3,1.6,2.2,15.0,41.3,42.4,76395.0,1454.0,30.2,64.5,35.0,41.9,4.6,63.0,0.7,12.8,14.3,0.0,5.9,57.3,0.0,0.0,0.5,0.0,0.0,4,13.0,1.6
"Anderson Heights, Raleigh, NC",0.37,964,2.8,1.9,2.3,485.0,39.2,45.1,161702.0,1125.0,32.7,62.0,32.5,66.2,3.2,77.0,2.2,8.5,6.8,0.0,1.8,72.3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,12,5.0,1.9
"Arbor Chase, Raleigh, NC",0.043,15,2.3,1.1,1.6,6.0,37.8,36.2,54200.0,795.0,39.7,36.8,26.0,59.3,21.5,51.8,2.0,19.9,9.2,0.0,19.1,81.9,0.0,0.25,0.0,0.0,0.0,0,12.0,1.1
"Arbor at Harrington Grove, Raleigh, NC",0.062,8,2.2,1.6462395543175488,1.9,4.0,37.9,38.0,77721.0,1159.0,0.6,39.4,40.9,50.2,1.9,56.5,7.4,10.0,12.6,52.6,8.3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,4,13.0,1.6462395543175488
"Ashley Park, Raleigh, NC",0.04,157,2.6,2.0,1.8,81.0,46.2,39.1,70461.0,1186.0,46.3,49.2,35.2,50.6,2.7,61.5,1.8,9.6,14.3,0.0,3.5,74.2,0.0,0.0,0.0,0.05,0.0,15,6.0,2.0
"Ashley Ridge, Raleigh, NC",0.015,41,2.6,1.6,2.1,18.0,44.8,48.3,120583.0,853.0,52.6,40.0,38.3,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.25,0.0,0.0,0.0,0.0,6,8.0,1.6
"Athens, Raleigh, NC",0.073,64,3.9,1.8,2.0,33.0,45.1,40.5,101903.0,1092.0,37.0,39.4,23.0,47.3,21.8,52.3,1.8,14.1,23.6,2.7,8.7,75.5,0.0,0.0,0.0,0.0,0.2,11,14.0,1.8
"Auburn Hills, Raleigh, NC",0.135,39,2.7,1.8,2.3,17.0,42.0,44.5,53409.0,631.0,31.9,62.2,11.5,60.5,5.5,45.8,0.5,15.2,14.5,0.0,15.7,60.1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,12.0,1.8
"Avallon, Raleigh, NC",0.018000000000000002,49,2.3,1.5,2.2,23.0,39.0,41.1,123293.0,1207.0,46.3,42.9,35.4,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.1,66.9,0.25,0.0,0.0,0.0,0.0,6,8.0,1.5
"Avington Place, Raleigh, NC",0.084,30,2.3,1.1,1.6,13.0,37.8,36.2,54200.0,795.0,39.7,36.8,25.4,59.3,21.5,51.8,2.0,19.9,9.2,3.4,18.7,81.9,0.5,0.0,0.0,0.0,0.0,0,12.0,1.1
"Bagwell, Raleigh, NC",0.028999999999999998,160,2.3,1.5,1.8,64.0,27.9,43.8,52887.0,1195.0,38.7,53.3,30.4,36.8,7.7,31.1,0.3,29.9,15.3,0.0,12.5,65.2,0.0,0.0,0.0,0.10714285714285714,0.0,0,12.0,1.5
"Baileycroft, Raleigh, NC",0.023,36,2.2,1.4,1.8,16.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.8,32.6,10.2,29.9,0.4,22.9,16.6,0.0,5.5,78.1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,12.0,1.4
"Banbury Woods Place, Raleigh, NC",0.001,3,1.9,1.6,1.9,1.0,48.3,33.3,91731.0,869.0,38.7,53.3,42.1,32.9,7.7,38.3,0.3,11.1,28.4,0.0,11.2,60.7,0.0,0.0,0.0,0.0,0.0,2,7.0,1.6
"Battery Heights, Raleigh, NC",0.087,328,2.4,0.8,1.7,136.0,44.0,34.3,35630.0,613.0,28.8,64.2,8.5,35.3,6.4,18.8,0.5,19.0,25.2,2.3,30.5,70.4,0.16666666666666666,0.0,0.0,0.0,0.0,5,,0.8
