Neighborhood,avg household size,med age females,med age males,pct families with children,pct married couple,pct never married females > 15,pct never married males > 15,pct single mother,med household income,med rent,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store
"Cambridge, Raleigh, NC",2.4,40.1,45.4,21.9,52.7,19.8,6.4,11.1,78250.0,846.0,81.6,1.0,0.0,0.0,0.0,0.0
"Cameron Park, Raleigh, NC",1.8,26.9,29.0,21.5,21.2,31.5,42.2,5.9,34804.0,1011.0,74.1,0.0,0.0,0.0,0.0,0.0
"Cameron Village, Raleigh, NC",1.6,33.6,30.9,61.4,28.3,25.1,17.8,7.1,76208.0,1183.0,79.2,0.0,0.0,0.0,0.041666666666666664,0.0
"Capitol Heights, Raleigh, NC",2.5,40.5,39.8,18.6,32.0,8.4,18.4,12.4,50081.0,745.0,80.4,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666
"Cardinal Grove, Raleigh, NC",2.3,37.8,36.2,25.0,51.8,19.9,9.2,18.3,54200.0,795.0,81.9,0.0,0.16666666666666666,0.0,0.0,0.0
"Cardinal Hills, Raleigh, NC",2.8,32.1,28.8,23.0,52.3,14.1,23.6,8.7,72538.0,777.0,75.5,1.0,0.0,0.0,0.0,0.0
"Carolina Country Club, Raleigh, NC",2.5,54.2,58.1,42.5,76.1,9.7,3.9,2.6,208158.0,1125.0,62.6,0.0,0.0,0.0,0.0,0.0
"Carriage Hills, Raleigh, NC",2.3,39.0,41.1,34.9,54.1,14.4,15.5,3.1,123293.0,1207.0,66.9,0.16666666666666666,0.0,0.0,0.0,0.0
"Carters Mill, Raleigh, NC",2.2,52.4,41.7,55.3,38.4,13.2,25.1,89.4,49125.0,678.0,85.3,0.0,0.0,0.0,0.047619047619047616,0.0
"Cedar Hills Estates, Raleigh, NC",1.6,54.9,36.9,35.7,31.2,9.2,19.4,9.3,81406.0,751.0,57.4,0.25,0.0,0.0,0.0,0.0
"Cedar Village, Raleigh, NC",2.5,37.5,32.9,40.6,60.8,8.8,17.3,20.2,74803.0,928.0,90.6,0.0,0.0,0.0,0.125,0.125
"Cedarwoods Country Estates, Raleigh, NC",2.2,52.4,41.7,45.7,38.4,13.2,25.1,73.9,49125.0,678.0,85.3,0.0,0.0,0.0,0.0,0.0
"Chadleigh Pointe, Raleigh, NC",2.2,37.3,34.4,33.6,44.3,13.0,20.1,12.8,76516.0,740.0,76.3,0.0,0.5,0.0,0.0,0.0
"Chestnut Hills, Raleigh, NC",2.3,43.6,39.7,35.7,55.6,13.6,12.5,8.3,93413.0,895.0,72.6,0.0,0.25,0.0,0.0,0.0
"Chippenham Square, Raleigh, NC",2.6,44.8,48.3,37.6,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.0,0.0,0.0,0.16666666666666666,0.0
"Churchill Woods, Raleigh, NC",2.6,44.3,37.0,38.7,59.7,12.5,18.4,1.2,94000.0,745.0,59.7,0.0,0.0,0.0,0.0,0.0
"Claridge, Raleigh, NC",2.4,40.1,45.4,22.5,52.7,19.8,6.4,11.4,78250.0,846.0,81.6,0.0,0.0,0.0,0.0,0.3333333333333333
"Cobblestone, Raleigh, NC",2.3,37.8,36.2,25.2,51.8,19.9,9.2,18.5,54200.0,795.0,81.9,0.0,0.0,0.0,0.0,0.0
"Coley, Raleigh, NC",2.4,59.8,51.1,41.5,57.4,11.4,12.3,2.5,131622.0,1754.0,59.2,0.0,0.0,0.0,0.0,0.0
"College Crest, Raleigh, NC",2.4,34.8,41.9,34.0,35.2,18.6,19.6,8.2,81179.0,961.0,65.8,0.0,0.0,0.04,0.08,0.0
"Collingwood, Raleigh, NC",2.4,33.2,36.9,5.3,31.8,33.4,18.0,40.6,40338.0,827.0,76.3,0.0,0.0,0.0,0.0,0.0
"Colony Woods, Raleigh, NC",1.6,54.9,36.9,27.2,31.2,9.2,19.4,7.0,81406.0,751.0,57.4,0.25,0.0,0.0,0.0,0.0
"Community Dr, Raleigh, NC",3.6,42.2,27.7,20.8,19.6,24.4,25.2,18.2,29928.0,737.0,79.3,0.0,0.0,0.0,0.0,0.0
"Cottonwood, Raleigh, NC",3.9,41.5,34.1,18.6,45.8,23.4,18.4,12.5,62288.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0
"Country Club View, Raleigh, NC",3.0,31.0,31.4,10.3,16.6,28.1,29.8,22.9,33114.0,769.0,37.5,0.0,0.0,0.0,0.0,0.0
"Country Club Villas, Raleigh, NC",2.3,43.0,46.3,34.9,49.2,16.5,16.2,7.8,154249.0,943.0,71.8,0.0,0.0,0.0,0.0,0.0
"Courtney Place, Raleigh, NC",2.5,37.5,32.9,45.1,60.8,8.8,17.3,22.4,74803.0,928.0,90.6,0.0,0.0,0.0,0.0,0.0
"Crabtree Heights, Raleigh, NC",2.3,33.1,32.8,14.6,31.8,16.8,30.4,12.3,52589.0,834.0,81.7,0.0,0.0,0.0,0.08333333333333333,0.027777777777777776
"Creekside, Raleigh, NC",3.0,55.1,45.9,25.3,71.6,9.9,13.5,13.6,105689.0,1257.0,68.3,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903
"Crestview, Raleigh, NC",2.6,46.2,39.1,35.5,61.5,9.6,14.3,3.6,70461.0,1186.0,74.2,0.0,0.0,0.0,0.0,0.0
"Cross Link Trace, Raleigh, NC",2.2,52.4,41.7,45.3,38.4,13.2,25.1,73.2,49125.0,678.0,85.3,0.0,0.0,0.0,0.0,0.0
"Crown Oaks, Raleigh, NC",2.2,40.9,40.8,26.5,29.9,22.9,16.6,5.4,55078.0,861.0,78.1,0.0,0.0,0.15384615384615385,0.0,0.0
"Dacian Valley, Raleigh, NC",3.6,42.2,27.7,15.0,19.6,24.4,25.2,13.1,29928.0,737.0,79.3,0.0,0.0,0.0,0.0,0.0
"Dairyland, Raleigh, NC",2.5,47.2,41.3,40.0,59.5,13.2,15.2,2.9,122970.0,1192.0,58.8,0.0,0.3333333333333333,0.0,0.0,0.0
"Dandridge Downs, Raleigh, NC",2.2,52.4,41.7,47.0,38.4,13.2,25.1,76.0,49125.0,678.0,85.3,0.25,0.0,0.0,0.0,0.0
"Darien Place, Raleigh, NC",2.4,29.3,32.6,43.3,54.6,16.4,18.9,1.1,46923.0,672.0,62.2,0.0,0.5,0.0,0.0,0.0
"Dartmoor, Raleigh, NC",2.2,40.9,40.8,26.8,29.9,22.9,16.6,5.5,55078.0,861.0,78.1,0.0,0.3333333333333333,0.0,0.0,0.0
"Dillmark Townhomes, Raleigh, NC",2.8,38.2,42.1,42.3,49.2,14.7,15.5,5.3,51613.0,704.0,88.4,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
"Dixie Forest, Raleigh, NC",2.5,42.2,33.7,27.3,27.4,16.6,34.3,13.7,86354.0,897.0,58.0,0.0,0.0,0.0,0.25,0.0
"Drewry Hills, Raleigh, NC",2.6,45.6,48.1,36.4,65.1,12.6,13.3,5.4,120112.0,1486.0,56.7,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
"Dutchman Creek, Raleigh, NC",2.8,38.2,42.1,32.3,49.2,14.7,15.5,4.1,51613.0,704.0,88.4,0.0,0.0,0.0,0.0,0.0
"Eagle Point, Raleigh, NC",2.5,32.6,30.9,23.9,40.0,17.8,17.6,11.2,34719.0,693.0,84.7,0.0,0.0,0.0,0.0,0.0
"Eastgate, Raleigh, NC",2.1,36.3,36.6,20.3,35.4,15.2,24.8,11.8,68726.0,1041.0,74.7,0.0,0.0,0.0,0.0,0.0
"Eastwood, Raleigh, NC",3.6,42.2,27.7,15.1,19.6,24.4,25.2,13.2,29928.0,737.0,79.3,0.0,0.0,0.0,0.0,0.0
"Eden Forest, Raleigh, NC",1.6,54.9,36.9,27.1,31.2,9.2,19.4,7.0,81406.0,751.0,57.4,0.3333333333333333,0.0,0.0,0.0,0.0
"Edgewater Townhomes, Raleigh, NC",2.6,35.5,34.5,16.9,38.9,21.5,19.9,20.4,47620.0,797.0,78.3,0.0,0.0,0.0,0.0,0.0
"Edgewater at Rogers Farm, Raleigh, NC",2.3,40.8,36.0,24.8,34.1,24.9,22.6,18.9,53929.0,895.0,86.6,0.0,0.5,0.0,0.0,0.0
"Edmund St, Raleigh, NC",2.2,33.9,35.8,19.5,30.0,13.4,17.6,18.2,45493.0,703.0,79.9,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285
"Evans Mill, Raleigh, NC",2.4,40.1,45.4,22.1,52.7,19.8,6.4,11.2,78250.0,846.0,81.6,0.0,0.0,0.0,0.0,0.0
"Fairfax, Raleigh, NC",2.2,37.9,42.5,30.3,44.0,19.7,15.9,13.0,60913.0,976.0,72.0,0.0,0.0,0.0,0.0,0.0
"Fairfield, Raleigh, NC",1.9,40.6,31.7,23.3,25.7,19.5,32.6,31.2,69375.0,757.0,70.9,0.0,0.0,0.0,0.0625,0.0625
"Fairmont, Raleigh, NC",2.3,21.8,45.4,22.7,27.8,37.9,12.3,20.5,28214.0,1309.0,64.5,0.043478260869565216,0.0,0.0,0.06521739130434782,0.0
"Fairview Park, Raleigh, NC",2.5,38.0,40.3,39.8,69.1,10.6,10.9,3.5,103438.0,798.0,89.1,0.0,0.0,0.0,0.05555555555555555,0.0
"Fairway North, Raleigh, NC",2.5,37.5,32.9,40.0,60.8,8.8,17.3,19.9,74803.0,928.0,90.6,0.0,0.0,0.0,0.1,0.0
"Fairway Ridge, Raleigh, NC",2.8,32.1,28.8,23.6,52.3,14.1,23.6,8.9,72538.0,777.0,75.5,0.0,1.0,0.0,0.0,0.0
"Fallon Oaks, Raleigh, NC",2.5,38.0,40.3,39.9,69.1,10.6,10.9,3.5,103438.0,798.0,89.1,0.0,0.2,0.0,0.0,0.0
"Falls Church, Raleigh, NC",1.9,62.8,45.3,39.4,35.7,7.5,14.3,7.1,51481.0,2295.0,80.0,0.0,0.3333333333333333,0.0,0.0,0.0
"Farmington Woods, Raleigh, NC",2.8,38.2,42.1,32.3,49.2,14.7,15.5,4.1,51613.0,704.0,88.4,0.0,0.0,0.0,0.0,0.0
"Farrior Hills, Raleigh, NC",1.9,42.1,43.6,34.0,41.1,12.2,14.5,10.5,98654.0,1613.0,68.9,0.09090909090909093,0.0,0.0,0.0,0.0
"Fayetteville Street, Raleigh, NC",1.5,36.3,35.5,18.2,18.0,13.9,47.5,21.9,51386.0,974.0,87.0,0.25,0.0,0.25,0.0,0.0
"Fieldstream Farm, Raleigh, NC",2.6,44.8,48.3,37.6,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.25,0.0,0.0,0.0,0.0
"Five Points Village, Raleigh, NC",1.9,40.6,31.7,23.3,25.7,19.5,32.6,31.2,69375.0,757.0,70.9,0.0,0.0,0.0,0.0,0.0
"Forest Acres, Raleigh, NC",1.9,47.3,38.1,18.1,32.8,14.7,9.9,15.4,57803.0,908.0,75.6,0.0,0.0,0.0,0.0,0.0
"Forest Hills, Raleigh, NC",2.2,29.9,38.2,20.1,31.7,35.0,16.2,24.0,51732.0,1067.0,69.2,0.5,0.0,0.0,0.0,0.0
"Forest Ridge, Raleigh, NC",2.5,40.9,44.1,27.7,55.5,15.3,19.2,3.3,68036.0,698.0,56.1,0.0,0.0,0.0,0.0,0.0
"Foxcroft, Raleigh, NC",2.3,40.8,36.0,24.7,34.1,24.9,22.6,18.8,53929.0,895.0,86.6,0.0,0.0,0.0,0.0,0.0
"Gadland Court Townhomes, Raleigh, NC",1.0,0.0,0.0,20.3,14.2,58.9,36.7,0.0,50573.0,762.0,5.9,0.0,0.0,0.25,0.0,0.0
"Gatewood, Raleigh, NC",2.2,35.0,36.4,25.7,30.4,27.7,16.9,17.8,46772.0,788.0,61.2,1.0,0.0,0.0,0.0,0.0
"Georgetown, Raleigh, NC",1.9,40.6,31.7,23.1,25.7,19.5,32.6,30.9,69375.0,757.0,70.9,0.0,0.0,0.0,0.0,0.0
"Glascock Street, Raleigh, NC",2.6,40.4,42.7,19.1,30.8,11.1,17.9,15.9,54284.0,857.0,80.1,0.0,0.0,0.0,0.125,0.0
"Glen Eden, Raleigh, NC",0.6,3.4,3.0,41.9,60.9,10.2,11.3,2.2,7130.0,110.0,58.3,0.25,0.0,0.0,0.0,0.0
"Glen Forest, Raleigh, NC",2.3,39.0,41.1,34.9,54.1,14.4,15.5,3.1,123293.0,1207.0,66.9,0.0,0.2,0.2,0.0,0.0
"Glenanneve Place, Raleigh, NC",1.9,39.1,35.0,26.3,31.8,20.8,23.1,15.4,77179.0,831.0,64.5,0.0,0.0,0.0,0.09090909090909093,0.0
"Glenoe on Ferry, Raleigh, NC",2.8,32.1,28.8,23.1,52.3,14.1,23.6,8.7,72538.0,777.0,75.5,0.0,0.3333333333333333,0.0,0.0,0.0
"Glenwood South, Raleigh, NC",1.6,35.0,35.9,72.0,10.0,16.3,26.5,31.0,45869.0,699.0,90.2,0.0,0.0,0.0,0.047619047619047616,0.0
