Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,American Restaurant,Athletics & Sports,Bakery,Bar,Baseball Field,Basketball Court,Beach,Brewery,Bus Station,Business Service,Café,Chinese Restaurant,Coffee Shop,Construction & Landscaping,Convenience Store,Cosmetics Shop,Dessert Shop,Disc Golf,Discount Store,Dog Run,Fast Food Restaurant,Food,Food Truck,Furniture / Home Store,Gas Station,Golf Course,Grocery Store,Gym,Gym / Fitness Center,Home Service,Hotel,Italian Restaurant,Lake,Lawyer,Massage Studio,Mexican Restaurant,Music Venue,Nightlife Spot,Park,Pharmacy,Pizza Place,Playground,Pool,Pub,Rental Car Location,Sandwich Place,Social Club,Spa,Supermarket,Tennis Court,Trail,Video Store,Water Park
"Ashebrook, Raleigh, NC",0.056,16,39.5,1.0,2.3,7.0,25.7,46.0,51273.0,619.0,30.0,59.7,27.8,49.7,7.4,53.3,2.9,22.3,8.4,0.0,6.7,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ashley Park, Raleigh, NC",0.04,157,2.6,2.0,1.8,81.0,46.2,39.1,70461.0,1186.0,46.3,49.2,35.2,50.6,2.7,61.5,1.8,9.6,14.3,0.0,3.5,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0
"Ashley Ridge, Raleigh, NC",0.015,41,2.6,1.6,2.1,18.0,44.8,48.3,120583.0,853.0,52.6,40.0,38.3,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Athens, Raleigh, NC",0.073,64,3.9,1.8,2.0,33.0,45.1,40.5,101903.0,1092.0,37.0,39.4,23.0,47.3,21.8,52.3,1.8,14.1,23.6,2.7,8.7,75.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Auburn Hills, Raleigh, NC",0.135,39,2.7,1.8,2.3,17.0,42.0,44.5,53409.0,631.0,31.9,62.2,11.5,60.5,5.5,45.8,0.5,15.2,14.5,0.0,15.7,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Avallon, Raleigh, NC",0.018000000000000002,49,2.3,1.5,2.2,23.0,39.0,41.1,123293.0,1207.0,46.3,42.9,35.4,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.1,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Avington Place, Raleigh, NC",0.084,30,2.3,1.1,1.6,13.0,37.8,36.2,54200.0,795.0,39.7,36.8,25.4,59.3,21.5,51.8,2.0,19.9,9.2,3.4,18.7,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aztec Park, Raleigh, NC",0.039,9,21.0,1.7,1.7,5.0,36.7,30.7,65332.0,853.0,48.6,38.8,43.8,37.7,11.4,30.3,1.1,12.6,39.9,0.0,7.7,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
"Bagwell, Raleigh, NC",0.029,160,2.3,1.5,1.8,64.0,27.9,43.8,52887.0,1195.0,38.7,53.3,30.4,36.8,7.7,31.1,0.3,29.9,15.3,0.0,12.5,65.2,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baileycroft, Raleigh, NC",0.023,36,2.2,1.4,1.8,16.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.8,32.6,10.2,29.9,0.4,22.9,16.6,0.0,5.5,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
